phage,Phage Name,bacterium,Bacterium name,key_gene_output,wgs_output,phage_key_gene_num,host_key_gene_num
MG711466,Faecalibacterium phage FP_Toutatis,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.9969963,0.5572751,3,52
MG711460,Faecalibacterium phage FP_Mushu,NC_003911,Ruegeria pomeroyi DSS-3,1,0.5843127,2,628
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NC_017731,Providencia stuartii MRSN 2154,0.9945363,0.049975693,3,712
MG711466,Faecalibacterium phage FP_Toutatis,NC_021020,Faecalibacterium prausnitzii SL3/3,0.9999448,0.5373716,3,483
MG711466,Faecalibacterium phage FP_Toutatis,NC_021042,Faecalibacterium prausnitzii L2-6,0.9999428,0.5382546,3,518
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NZ_CP029736,Providencia rettgeri strain AR_0082,0.99960595,0.060520694,3,752
MG711466,Faecalibacterium phage FP_Toutatis,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.9914956,0.54292923,3,179
MG711466,Faecalibacterium phage FP_Toutatis,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.99995553,0.54169554,3,120
MG711464,Faecalibacterium phage FP_Lugh,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.8162391,0.55459005,5,52
MG711467,Faecalibacterium phage FP_Taranis,NC_003911,Ruegeria pomeroyi DSS-3,1,0.6017335,7,628
MG711466,Faecalibacterium phage FP_Toutatis,NC_017731,Providencia stuartii MRSN 2154,0.016821451,0.000637249,3,712
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NC_021020,Faecalibacterium prausnitzii SL3/3,0.9992822,0.5074944,3,483
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NC_021042,Faecalibacterium prausnitzii L2-6,0.99926883,0.4715909,3,518
MG711466,Faecalibacterium phage FP_Toutatis,NZ_CP029736,Providencia rettgeri strain AR_0082,0.99741554,0.000357207,3,752
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.9164976,0.48718944,3,179
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.99921703,0.49987474,3,120
NC_053009,Providencia phage vB_PreS-PibeRecoleta,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.42909807,0.50688136,3,52
